# BUSCO version is: 5.7.1 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	augustus_predicted_4803	1941.7	1398
83779at2759	Complete	augustus_predicted_3767	195.2	221
87842at2759	Complete	augustus_predicted_2628	344.4	596
97116at2759	Complete	augustus_predicted_3809	587.7	879
100698at2759	Complete	augustus_predicted_3572	831.8	497
142542at2759	Complete	augustus_predicted_4228	499.8	624
156083at2759	Complete	augustus_predicted_3077	3217.4	1937
160593at2759	Complete	augustus_predicted_1797	1342.1	1298
166920at2759	Complete	augustus_predicted_2729	561.6	734
176625at2759	Complete	augustus_predicted_2030	245.9	367
179362at2759	Complete	augustus_predicted_4813	695.2	937
245208at2759	Complete	augustus_predicted_4107	1187.1	846
257318at2759	Complete	augustus_predicted_3620	292.9	295
261328at2759	Missing
261419at2759	Missing
270107at2759	Complete	augustus_predicted_1504	539.5	601
271586at2759	Complete	augustus_predicted_1995	225.5	389
290630at2759	Complete	augustus_predicted_4239	695.5	460
293315at2759	Complete	augustus_predicted_4932	556.5	592
296129at2759	Complete	augustus_predicted_4908	1050.2	705
299766at2759	Complete	augustus_predicted_1410	370.5	437
306227at2759	Complete	augustus_predicted_2820	433.2	478
320059at2759	Complete	augustus_predicted_3300	866.5	451
324863at2759	Complete	augustus_predicted_3354	522.7	519
325552at2759	Complete	augustus_predicted_3927	330.6	366
330169at2759	Complete	augustus_predicted_5048	247.5	295
331411at2759	Complete	augustus_predicted_3900	264.5	395
341721at2759	Complete	augustus_predicted_2502	250.7	380
345441at2759	Complete	augustus_predicted_2222	417.2	379
355408at2759	Complete	augustus_predicted_2603	536.4	539
369837at2759	Complete	augustus_predicted_390	291.0	386
375960at2759	Complete	augustus_predicted_3517	243.1	336
383503at2759	Complete	augustus_predicted_185	196.4	345
388820at2759	Complete	augustus_predicted_2837	525.0	588
390348at2759	Complete	augustus_predicted_4016	1098.6	735
392369at2759	Complete	augustus_predicted_4044	424.2	343
396755at2759	Complete	augustus_predicted_998	312.7	615
418107at2759	Complete	augustus_predicted_2492	447.5	338
426305at2759	Complete	augustus_predicted_2164	428.1	474
450058at2759	Complete	augustus_predicted_325	98.7	260
453044at2759	Complete	augustus_predicted_2136	358.6	290
457861at2759	Complete	augustus_predicted_3245	35.5	113
464990at2759	Complete	augustus_predicted_2000	277.7	351
491869at2759	Missing
513979at2759	Complete	augustus_predicted_4339	139.6	224
543764at2759	Complete	augustus_predicted_4967	156.8	236
549762at2759	Complete	augustus_predicted_3083	482.4	381
551907at2759	Complete	augustus_predicted_261	282.4	351
570797at2759	Complete	augustus_predicted_2610	317.8	500
582756at2759	Complete	augustus_predicted_4353	234.9	348
598949at2759	Complete	augustus_predicted_3206	251.0	389
604979at2759	Complete	augustus_predicted_4755	351.1	285
621827at2759	Complete	augustus_predicted_3928	254.2	347
625387at2759	Complete	augustus_predicted_302	125.3	295
655400at2759	Complete	augustus_predicted_2173	234.8	258
664730at2759	Complete	augustus_predicted_4185	607.8	348
671536at2759	Complete	augustus_predicted_2059	405.0	365
671846at2759	Complete	augustus_predicted_114	130.0	353
673132at2759	Complete	augustus_predicted_225	235.5	250
674160at2759	Complete	augustus_predicted_4365	630.3	940
674169at2759	Complete	augustus_predicted_2433	136.8	243
679187at2759	Missing
679771at2759	Missing
687505at2759	Complete	augustus_predicted_4041	139.8	213
692986at2759	Complete	augustus_predicted_2419	192.0	345
708105at2759	Complete	augustus_predicted_3374	157.2	179
719531at2759	Fragmented	augustus_predicted_3223	151.5	127
720340at2759	Complete	augustus_predicted_2844	156.3	210
721605at2759	Missing
722805at2759	Complete	augustus_predicted_279	203.1	381
734341at2759	Complete	augustus_predicted_699	77.7	153
734666at2759	Complete	augustus_predicted_3082	489.8	370
736068at2759	Complete	augustus_predicted_850	255.7	316
751335at2759	Complete	augustus_predicted_3405	162.4	293
759498at2759	Complete	augustus_predicted_3893	541.3	422
761109at2759	Complete	augustus_predicted_3078	371.0	363
768809at2759	Complete	augustus_predicted_2504	253.7	230
774318at2759	Complete	augustus_predicted_4303	273.9	269
777920at2759	Complete	augustus_predicted_2042	408.2	339
779909at2759	Complete	augustus_predicted_5015	258.0	226
801857at2759	Complete	augustus_predicted_5034	205.3	195
814241at2759	Complete	augustus_predicted_1330	209.3	318
817008at2759	Complete	augustus_predicted_1037	468.8	297
