# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
4421at2	Complete	DMGIDEJL_03017	1833.5	1171	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	DMGIDEJL_03016	1272.6	771	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Complete	DMGIDEJL_02300	257.8	365	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Complete	DMGIDEJL_05675	526.6	537	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Complete	DMGIDEJL_02582	751.6	477	https://www.orthodb.org/v10?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	DMGIDEJL_03306	496.8	438	https://www.orthodb.org/v10?query=143460at2	GTP-binding protein
182107at2	Complete	DMGIDEJL_03435	729.7	490	https://www.orthodb.org/v10?query=182107at2	elongation factor 4
219876at2	Complete	DMGIDEJL_00001	255.6	263	https://www.orthodb.org/v10?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	DMGIDEJL_02944	498.9	426	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Complete	DMGIDEJL_04593	522.9	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Complete	DMGIDEJL_02568	322.9	279	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Complete	DMGIDEJL_01069	274.0	271	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Complete	DMGIDEJL_01907	393.7	307	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Complete	DMGIDEJL_02024	182.7	181	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	DMGIDEJL_02920	260.1	283	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Complete	DMGIDEJL_06768	559.6	359	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
462069at2	Complete	DMGIDEJL_02766	176.0	206	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
469058at2	Complete	DMGIDEJL_03518	395.8	287	https://www.orthodb.org/v10?query=469058at2	phenylalanine--tRNA ligase subunit alpha
504464at2	Complete	DMGIDEJL_03693	309.9	231	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
505485at2	Complete	DMGIDEJL_01226	220.6	232	https://www.orthodb.org/v10?query=505485at2	DNA repair protein RadA
533698at2	Complete	DMGIDEJL_04366	380.0	282	https://www.orthodb.org/v10?query=533698at2	Enolase
662686at2	Complete	DMGIDEJL_03258	257.4	225	https://www.orthodb.org/v10?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	DMGIDEJL_06508	389.6	345	https://www.orthodb.org/v10?query=665824at2	proline--tRNA ligase
761140at2	Complete	DMGIDEJL_02754	137.2	293	https://www.orthodb.org/v10?query=761140at2	methionine--tRNA ligase
776861at2	Complete	DMGIDEJL_03958	233.1	204	https://www.orthodb.org/v10?query=776861at2	cytidylate kinase
837522at2	Fragmented	DMGIDEJL_06871	663.6	392	https://www.orthodb.org/v10?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	DMGIDEJL_05474	117.9	175	https://www.orthodb.org/v10?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	DMGIDEJL_04865	397.8	272	https://www.orthodb.org/v10?query=874197at2	Holliday junction DNA helicase RuvB
923547at2	Complete	DMGIDEJL_02651	433.1	312	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	DMGIDEJL_02860	605.6	414	https://www.orthodb.org/v10?query=932854at2	phosphoribosylamine--glycine ligase
932993at2	Complete	DMGIDEJL_01971	49.5	215	https://www.orthodb.org/v10?query=932993at2	trigger factor
961486at2	Complete	DMGIDEJL_03234	220.4	170	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
981870at2	Complete	DMGIDEJL_03448	264.5	264	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
984717at2	Complete	DMGIDEJL_03683	207.3	222	https://www.orthodb.org/v10?query=984717at2	GTPase Era
1009041at2	Complete	DMGIDEJL_05469	242.0	224	https://www.orthodb.org/v10?query=1009041at2	cell division protein FtsZ
1024388at2	Complete	DMGIDEJL_06378	427.8	305	https://www.orthodb.org/v10?query=1024388at2	methionine adenosyltransferase
1036075at2	Complete	DMGIDEJL_02583	256.1	317	https://www.orthodb.org/v10?query=1036075at2	excinuclease ABC subunit C
1043239at2	Complete	DMGIDEJL_05230	163.4	156	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1049662at2	Complete	DMGIDEJL_02858	552.1	434	https://www.orthodb.org/v10?query=1049662at2	Bifunctional purine biosynthesis protein PurH
1054741at2	Complete	DMGIDEJL_03426	387.3	324	https://www.orthodb.org/v10?query=1054741at2	tRNA 2-thiouridine(34) synthase MnmA
1069591at2	Complete	DMGIDEJL_03653	134.4	149	https://www.orthodb.org/v10?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	DMGIDEJL_05238	259.0	379	https://www.orthodb.org/v10?query=1074831at2	DNA repair protein RecN
1080436at2	Duplicated	DMGIDEJL_01362	386.6	263	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1080436at2	Duplicated	DMGIDEJL_01414	367.3	259	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1093223at2	Complete	DMGIDEJL_05478	295.2	356	https://www.orthodb.org/v10?query=1093223at2	UDP-N-acetylmuramoylalanine-D-glutamate ligase
1132353at2	Complete	DMGIDEJL_03237	208.2	160	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1151822at2	Fragmented	DMGIDEJL_05479	253.2	247	https://www.orthodb.org/v10?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	DMGIDEJL_02028	127.1	120	https://www.orthodb.org/v10?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	DMGIDEJL_03257	183.0	163	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1257362at2	Complete	DMGIDEJL_02009	237.0	236	https://www.orthodb.org/v10?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	DMGIDEJL_02767	337.4	247	https://www.orthodb.org/v10?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	DMGIDEJL_03297	152.9	143	https://www.orthodb.org/v10?query=1270636at2	50S ribosomal protein L3
1272633at2	Complete	DMGIDEJL_05484	132.4	154	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1346419at2	Complete	DMGIDEJL_04308	316.1	294	https://www.orthodb.org/v10?query=1346419at2	phosphopantothenoylcysteine decarboxylase
1395197at2	Complete	DMGIDEJL_02508	121.3	152	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1398618at2	Complete	DMGIDEJL_03246	112.4	129	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1419877at2	Complete	DMGIDEJL_01327	258.6	259	https://www.orthodb.org/v10?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	DMGIDEJL_03243	213.8	136	https://www.orthodb.org/v10?query=1456375at2	50S ribosomal protein L5
1470978at2	Complete	DMGIDEJL_03014	74.8	101	https://www.orthodb.org/v10?query=1470978at2	50S ribosomal protein L10
1490892at2	Complete	DMGIDEJL_01099	47.8	83	https://www.orthodb.org/v10?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	DMGIDEJL_03252	122.4	128	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1497415at2	Complete	DMGIDEJL_03474	21.5	74	https://www.orthodb.org/v10?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	DMGIDEJL_04611	239.4	184	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1504821at2	Complete	DMGIDEJL_05661	168.5	215	https://www.orthodb.org/v10?query=1504821at2	Riboflavin biosynthesis protein
1505038at2	Complete	DMGIDEJL_03248	216.9	146	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1540940at2	Complete	DMGIDEJL_03228	201.0	133	https://www.orthodb.org/v10?query=1540940at2	30S ribosomal protein S7
1567535at2	Fragmented	DMGIDEJL_03251	324.3	292	https://www.orthodb.org/v10?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	DMGIDEJL_03232	98.8	101	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	DMGIDEJL_04666	146.1	141	https://www.orthodb.org/v10?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	DMGIDEJL_07306	54.6	78	https://www.orthodb.org/v10?query=1590629at2	Ribosomal RNA small subunit methyltransferase G
1592033at2	Duplicated	DMGIDEJL_05126	392.9	368	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1592033at2	Duplicated	DMGIDEJL_01329	446.9	344	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1595498at2	Complete	DMGIDEJL_02023	44.8	41	https://www.orthodb.org/v10?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	DMGIDEJL_05232	262.9	187	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1661836at2	Complete	DMGIDEJL_01901	158.4	142	https://www.orthodb.org/v10?query=1661836at2	recombination protein RecR
1666043at2	Complete	DMGIDEJL_03236	97.5	85	https://www.orthodb.org/v10?query=1666043at2	50S ribosomal protein L22
1671455at2	Complete	DMGIDEJL_03013	211.9	165	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1674344at2	Complete	DMGIDEJL_05229	141.8	132	https://www.orthodb.org/v10?query=1674344at2	ribosome recycling factor
1676462at2	Complete	DMGIDEJL_04975	129.3	102	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	DMGIDEJL_03245	169.0	130	https://www.orthodb.org/v10?query=1692188at2	30S ribosomal protein S8
1698718at2	Complete	DMGIDEJL_03476	105.3	82	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1701531at2	Complete	DMGIDEJL_06770	167.3	143	https://www.orthodb.org/v10?query=1701531at2	ATP synthase gamma chain
1702697at2	Complete	DMGIDEJL_03012	128.0	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1707228at2	Complete	DMGIDEJL_03227	174.7	100	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1713391at2	Complete	DMGIDEJL_03256	149.6	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1720952at2	Complete	DMGIDEJL_02015	176.6	141	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1758685at2	Complete	DMGIDEJL_03025	51.9	57	https://www.orthodb.org/v10?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	DMGIDEJL_00562	90.9	87	https://www.orthodb.org/v10?query=1760144at2	translation initiation factor IF-3
1766414at2	Complete	DMGIDEJL_01958	114.3	98	https://www.orthodb.org/v10?query=1766414at2	30S ribosomal protein S9
1772647at2	Complete	DMGIDEJL_03255	144.7	97	https://www.orthodb.org/v10?query=1772647at2	30S ribosomal protein S13
1776954at2	Complete	DMGIDEJL_04976	24.9	69	https://www.orthodb.org/v10?query=1776954at2	30S ribosomal protein S6
1786618at2	Complete	DMGIDEJL_03238	147.8	102	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1799923at2	Complete	DMGIDEJL_03241	134.0	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1822215at2	Complete	DMGIDEJL_01957	135.5	111	https://www.orthodb.org/v10?query=1822215at2	50S ribosomal protein L13
1822695at2	Complete	DMGIDEJL_03015	88.7	87	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1827295at2	Complete	DMGIDEJL_04262	56.3	61	https://www.orthodb.org/v10?query=1827295at2	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
1827334at2	Complete	DMGIDEJL_03312	88.5	76	https://www.orthodb.org/v10?query=1827334at2	methyltransferase
1830156at2	Complete	DMGIDEJL_04641	66.7	75	https://www.orthodb.org/v10?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	DMGIDEJL_03259	83.1	82	https://www.orthodb.org/v10?query=1838961at2	50S ribosomal protein L17
1842956at2	Complete	DMGIDEJL_04070	47.4	87	https://www.orthodb.org/v10?query=1842956at2	biotin--
1844275at2	Complete	DMGIDEJL_03437	155.3	170	https://www.orthodb.org/v10?query=1844275at2	aspartate carbamoyltransferase
1846503at2	Complete	DMGIDEJL_03313	125.9	105	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	DMGIDEJL_03250	50.3	78	https://www.orthodb.org/v10?query=1874945at2	50S ribosomal protein L15
1890943at2	Complete	DMGIDEJL_03680	54.6	88	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1893906at2	Complete	DMGIDEJL_03235	135.3	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1904463at2	Complete	DMGIDEJL_01443	104.5	66	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1906715at2	Complete	DMGIDEJL_06525	38.9	68	https://www.orthodb.org/v10?query=1906715at2	Protein GrpE
1932144at2	Complete	DMGIDEJL_03517	104.3	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1937072at2	Complete	DMGIDEJL_03472	97.2	69	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937493at2	Complete	DMGIDEJL_06869	127.7	156	https://www.orthodb.org/v10?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	DMGIDEJL_04977	84.0	50	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1949059at2	Complete	DMGIDEJL_01442	113.7	98	https://www.orthodb.org/v10?query=1949059at2	50S ribosomal protein L21
1959318at2	Complete	DMGIDEJL_04978	81.8	94	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	DMGIDEJL_03247	131.7	102	https://www.orthodb.org/v10?query=1963491at2	50S ribosomal protein L18
1971380at2	Complete	DMGIDEJL_02027	116.3	112	https://www.orthodb.org/v10?query=1971380at2	ribosome-binding factor A
1978865at2	Complete	DMGIDEJL_03233	97.6	90	https://www.orthodb.org/v10?query=1978865at2	50S ribosomal protein L23
1990141at2	Complete	DMGIDEJL_02029	112.2	66	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990650at2	Complete	DMGIDEJL_01210	79.5	77	https://www.orthodb.org/v10?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	DMGIDEJL_04647	53.3	62	https://www.orthodb.org/v10?query=2005443at2	30S ribosomal protein S20
2012682at2	Complete	DMGIDEJL_03231	140.6	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2035880at2	Complete	DMGIDEJL_03240	68.2	56	https://www.orthodb.org/v10?query=2035880at2	30S ribosomal protein S17
2040741at2	Complete	DMGIDEJL_03242	40.4	53	https://www.orthodb.org/v10?query=2040741at2	50S ribosomal protein L24
2046660at2	Fragmented	DMGIDEJL_03516	22.5	21	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2063644at2	Complete	DMGIDEJL_03239	17.9	33	https://www.orthodb.org/v10?query=2063644at2	50S ribosomal protein L29
2066663at2	Complete	DMGIDEJL_03253	93.0	49	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2075502at2	Complete	DMGIDEJL_05698	45.5	51	https://www.orthodb.org/v10?query=2075502at2	Putative pre-16S rRNA nuclease
