#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_373  -            666 917326at2759         -            435  1.3e-112  374.8  12.0   1   3   4.5e-77   5.8e-74  247.4   0.7     2   221    46   297    45   304 0.87 -
augustus_predicted_373  -            666 917326at2759         -            435  1.3e-112  374.8  12.0   2   3   4.1e-22   5.3e-19   66.3   3.9   227   355   332   503   326   511 0.75 -
augustus_predicted_373  -            666 917326at2759         -            435  1.3e-112  374.8  12.0   3   3   7.4e-21   9.5e-18   62.1   0.0   352   434   541   652   538   653 0.78 -
augustus_predicted_1881 -            577 917326at2759         -            435   2.5e-27   93.7   6.7   1   2   1.5e-25   1.9e-22   77.6   4.8     7   311    30   376    23   399 0.77 -
augustus_predicted_1881 -            577 917326at2759         -            435   2.5e-27   93.7   6.7   2   2   2.7e-05     0.034   10.9   0.0   390   434   523   572   480   573 0.85 -
augustus_predicted_348  -            724 917326at2759         -            435   1.7e-16   58.0   5.6   1   3   1.4e-15   1.8e-12   44.8   1.5     7   213    23   275    16   301 0.74 -
augustus_predicted_348  -            724 917326at2759         -            435   1.7e-16   58.0   5.6   2   3   0.00063      0.81    6.4   0.1   248   305   340   397   310   417 0.87 -
augustus_predicted_348  -            724 917326at2759         -            435   1.7e-16   58.0   5.6   3   3     0.013        17    2.0   0.0   395   434   593   635   581   636 0.79 -
augustus_predicted_2828 -            691 917326at2759         -            435   2.8e-05   21.0   3.5   1   1   9.1e-08   0.00012   19.0   3.5   115   323   192   431   179   443 0.67 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/917326at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/917326at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/917326at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7
# Date:            Thu Aug 22 20:16:26 2024
# [ok]
